name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Luis Sinisterra,MID,Bournemouth,80,34,332,14,True,2025-04-27T13:00:00Z,48,12337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Michael Keane,DEF,Everton,228,34,334,6,False,2025-04-26T11:30:00Z,38,486098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Ben Godfrey,DEF,Ipswich,715,34,337,15,False,2025-04-26T14:00:00Z,40,4420,50,0,0,0,0,0,3,0,0,-8,0,0,0,0.00,0.00,0.00,2.32,,,,,6.2,0.0,0.0,0.6,0.0
Omar Richards,DEF,Nott'm Forest,438,34,338,4,True,2025-05-01T18:30:00Z,45,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Álex Moreno Lopera,DEF,Nott'm Forest,26,34,338,4,True,2025-05-01T18:30:00Z,42,41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Ezra Mayers,DEF,West Ham,686,34,333,5,False,2025-04-26T14:00:00Z,40,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Stephy Mavididi,MID,Leicester,298,34,340,20,False,2025-04-26T14:00:00Z,50,31684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Anthony Gordon,MID,Newcastle,398,34,337,10,True,2025-04-26T14:00:00Z,74,964345,23,0,1,0,0,0,0,0,0,3,0,0,0,0.06,0.07,0.13,0.00,,,,,4.2,13.3,8.0,2.6,0.0
Facundo Pellistri Rebollo,MID,Man Utd,384,34,332,3,False,2025-04-27T13:00:00Z,50,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,DEF,Liverpool,311,34,335,18,True,2025-04-27T15:30:00Z,72,2394985,75,1,5,0,1,0,1,0,0,12,0,0,0,0.17,0.01,0.18,0.46,,,,,5.2,1.5,10.0,1.7,0.0
Josh King,MID,Fulham,604,34,339,17,False,2025-04-26T14:00:00Z,44,9477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Matt O'Riley,MID,Brighton,629,34,333,19,True,2025-04-26T14:00:00Z,55,5925,81,1,2,0,0,0,1,0,0,14,0,0,0,0.04,0.18,0.22,0.76,,,,,9.6,45.7,21.0,7.6,0.0
Wanya Marçal-Madivádua,MID,Leicester,297,34,340,20,False,2025-04-26T14:00:00Z,45,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Jamal Lewis,DEF,Newcastle,408,34,337,10,True,2025-04-26T14:00:00Z,40,14985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Nuno Herlander Simões Espírito Santo,AM,Nott'm Forest,747,34,338,4,True,2025-05-01T18:30:00Z,11,18664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Jørgen Strand Larsen,FWD,Wolves,566,34,340,11,True,2025-04-26T14:00:00Z,54,721502,76,1,6,1,0,1,0,0,0,27,0,0,0,0.76,0.02,0.78,1.10,,,,,28.4,2.3,36.0,6.7,0.0
Jack Harrison,MID,Everton,224,34,334,6,False,2025-04-26T11:30:00Z,52,17836,62,1,2,0,0,0,1,0,0,9,0,0,0,0.00,0.01,0.01,0.44,,,,,4.8,18.8,0.0,2.4,0.0
Benjamin Arthur,DEF,Brentford,705,34,338,16,False,2025-05-01T18:30:00Z,40,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Luke Cundle,MID,Wolves,540,34,340,11,True,2025-04-26T14:00:00Z,45,16546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Jan Bednarek,DEF,Southampton,455,34,339,9,True,2025-04-26T14:00:00Z,40,242636,90,1,1,0,0,0,2,0,0,3,0,0,0,0.00,0.00,0.00,2.42,,,,,19.2,0.3,0.0,2.0,0.0
André Onana,GK,Man Utd,383,34,332,3,False,2025-04-27T13:00:00Z,49,611594,90,1,2,0,0,0,1,0,0,6,0,0,0,0.00,0.00,0.00,0.53,,,,,3.6,0.0,0.0,0.4,0.0
Odsonne Edouard,FWD,Leicester,198,34,340,20,False,2025-04-26T14:00:00Z,51,23098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Deivid Washington de Souza Eugênio,FWD,Chelsea,165,34,334,8,True,2025-04-26T11:30:00Z,49,15536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Lewis O'Brien,MID,Nott'm Forest,439,34,338,4,True,2025-05-01T18:30:00Z,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Alex Mighten,MID,Nott'm Forest,435,34,338,4,True,2025-05-01T18:30:00Z,45,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Jacob Slater,DEF,Brighton,685,34,333,19,True,2025-04-26T14:00:00Z,40,2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Vítor Manuel de Oliveira Lopes Pereira,AM,Wolves,751,34,340,11,True,2025-04-26T14:00:00Z,8,46427,0,0,11,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Djed Spence,DEF,Spurs,504,34,335,12,False,2025-04-27T15:30:00Z,44,97303,90,1,0,0,0,0,5,0,0,-17,0,0,0,0.02,0.03,0.05,2.28,,,,,4.4,0.7,2.0,0.7,0.0
Hamza Choudhury,MID,Leicester,287,34,340,20,False,2025-04-26T14:00:00Z,44,124087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Wesley Fofana,DEF,Chelsea,189,34,334,8,True,2025-04-26T11:30:00Z,43,28577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Kieran McKenna,AM,Ipswich,743,34,337,15,False,2025-04-26T14:00:00Z,5,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Joe Aribo,MID,Southampton,452,34,339,9,True,2025-04-26T14:00:00Z,49,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Killian Cahill,GK,Brighton,668,34,333,19,True,2025-04-26T14:00:00Z,39,108316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Guglielmo Vicario,GK,Spurs,508,34,335,12,False,2025-04-27T15:30:00Z,48,212907,90,1,0,0,0,0,5,2,0,-7,0,0,0,0.00,0.00,0.00,2.28,,,,,17.8,0.0,0.0,1.8,0.0
Ruben Filipe Marques Diogo Amorim,AM,Man Utd,745,34,332,3,False,2025-04-27T13:00:00Z,8,12733,0,0,9,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
