name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Ethan Nwaneri,MID,Arsenal,25,13,123,7,False,2025-11-30T16:30:00Z,51,17392,155,600,-445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bryan Gil Salvatierra,MID,Spurs,590,13,129,10,True,2025-11-29T20:00:00Z,49,3645,0,50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Callum Olusesi,MID,Spurs,595,13,129,10,True,2025-11-29T20:00:00Z,44,23525,104,560,-456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Elyh Harrison,GK,Man Utd,433,13,124,8,False,2025-11-30T12:00:00Z,40,224,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ellery Balcombe,GK,Brentford,102,13,122,3,True,2025-11-29T15:00:00Z,40,34257,161,539,-378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gustavo Nunes Fernandes Gomes,MID,Brentford,127,13,122,3,True,2025-11-29T15:00:00Z,49,1401,80,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Boubacar Traoré,MID,Wolves,649,13,121,2,False,2025-11-30T14:05:00Z,50,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Luka Vušković,DEF,Spurs,578,13,129,10,True,2025-11-29T20:00:00Z,39,48195,0,941,-941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Mateus Gonçalo Espanha Fernandes,MID,West Ham,708,13,130,12,True,2025-11-30T14:05:00Z,55,7157,686,1755,-1069,90,1,2,0,0,0,2,0,0,18,0,0,0,0.02,0.18,0.20,1.24,6,1,3,2,15.2,44.4,2.0,6.2,0.0
Kenny Tete,DEF,Fulham,322,13,129,18,False,2025-11-29T20:00:00Z,45,20089,761,2861,-2100,90,1,12,1,0,0,1,0,2,30,0,0,0,0.06,0.00,0.06,0.86,18,12,3,6,66.6,0.6,11.0,7.8,0.0
Landon Emenalo,MID,Chelsea,743,13,123,1,True,2025-11-30T16:30:00Z,45,1068,43,85,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dilane Bakwa,MID,Nott'm Forest,734,13,127,6,True,2025-11-30T14:05:00Z,59,1379,10,85,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Matt O'Riley,MID,Brighton,164,13,127,16,False,2025-11-30T14:05:00Z,55,46187,0,629,-629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Senne Lammens,GK,Man Utd,733,13,124,8,False,2025-11-30T12:00:00Z,50,187026,6584,11576,-4992,90,1,2,0,0,0,1,2,0,11,0,0,0,0.00,0.00,0.00,1.83,0,1,5,0,22.0,0.0,0.0,2.2,0.0
Carl Rushworth,GK,Brighton,141,13,127,16,False,2025-11-30T14:05:00Z,40,274,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Walter Benítez,GK,Crystal Palace,254,13,124,14,True,2025-11-30T12:00:00Z,40,38205,156,599,-443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
John Ruddy,GK,Newcastle,753,13,125,9,False,2025-11-29T17:30:00Z,40,329,110,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ibrahim Sangaré,MID,Nott'm Forest,521,13,127,6,True,2025-11-30T14:05:00Z,49,7388,259,197,62,73,1,4,0,0,0,1,0,0,18,0,0,0,0.02,0.03,0.05,1.44,15,5,6,4,22.6,3.3,5.0,3.1,0.0
Zak Johnson,DEF,Sunderland,538,13,128,4,True,2025-11-29T15:00:00Z,39,31320,142,761,-619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Brennan Johnson,MID,Spurs,580,13,129,10,True,2025-11-29T20:00:00Z,66,350089,1940,11826,-9886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
