timestamp_utc,timestamp_local,naptan,station,percentage_of_baseline,data_available,band,reading_time_utc
2026-07-10T17:31:05Z,2026-07-10 18:31:05,940GZZLUTBC,Tooting Bec,0.223692,true,quiet,2026-07-10T17:21:00.000Z
2026-07-10T17:31:05Z,2026-07-10 18:31:05,940GZZLUBLM,Balham,0.376915,true,quiet,2026-07-10T17:21:00.000Z
2026-07-10T17:31:05Z,2026-07-10 18:31:05,940GZZLUCPS,Clapham South,0.068275,true,quiet,2026-07-10T17:21:00.000Z
2026-07-10T17:31:05Z,2026-07-10 18:31:05,940GZZLUCPC,Clapham Common,,true,none,2026-07-10T17:21:00.000Z
2026-07-10T17:31:05Z,2026-07-10 18:31:05,940GZZLUCPN,Clapham North,,true,none,2026-07-10T17:21:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUCSD,Colliers Wood,0.165431,true,quiet,2026-07-10T17:31:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUTBY,Tooting Broadway,0.426810,true,busy,2026-07-10T17:31:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUTBC,Tooting Bec,0.234862,true,quiet,2026-07-10T17:31:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUBLM,Balham,0.383782,true,quiet,2026-07-10T17:31:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUCPS,Clapham South,0.068275,true,quiet,2026-07-10T17:31:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUCPC,Clapham Common,,true,none,2026-07-10T17:26:00.000Z
2026-07-10T17:35:26Z,2026-07-10 18:35:26,940GZZLUCPN,Clapham North,,true,none,2026-07-10T17:26:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUCSD,Colliers Wood,0.177943,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUTBY,Tooting Broadway,0.386749,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUTBC,Tooting Bec,0.229571,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUBLM,Balham,0.387216,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUCPS,Clapham South,0.064634,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUCPC,Clapham Common,,true,none,2026-07-10T17:36:00.000Z
2026-07-10T17:40:53Z,2026-07-10 18:40:53,940GZZLUCPN,Clapham North,,true,none,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUCSD,Colliers Wood,0.177943,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUTBY,Tooting Broadway,0.386749,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUTBC,Tooting Bec,0.229571,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUBLM,Balham,0.387216,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUCPS,Clapham South,0.064634,true,quiet,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUCPC,Clapham Common,,true,none,2026-07-10T17:36:00.000Z
2026-07-10T17:45:33Z,2026-07-10 18:45:33,940GZZLUCPN,Clapham North,,true,none,2026-07-10T17:36:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUCSD,Colliers Wood,0.161260,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUTBY,Tooting Broadway,0.340909,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUTBC,Tooting Bec,0.209877,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUBLM,Balham,0.361067,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUCPS,Clapham South,0.057806,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUCPC,Clapham Common,0.025708,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:50:54Z,2026-07-10 18:50:54,940GZZLUCPN,Clapham North,0.022065,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUCSD,Colliers Wood,0.161260,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUTBY,Tooting Broadway,0.340909,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUTBC,Tooting Bec,0.209877,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUBLM,Balham,0.361067,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUCPS,Clapham South,0.057806,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUCPC,Clapham Common,0.025708,true,quiet,2026-07-10T17:46:00.000Z
2026-07-10T17:55:30Z,2026-07-10 18:55:30,940GZZLUCPN,Clapham North,0.022065,true,quiet,2026-07-10T17:46:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUCSD,Colliers Wood,0.118165,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUTBY,Tooting Broadway,0.085516,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUTBC,Tooting Bec,0.058201,true,quiet,2026-07-13T05:56:00.000Z
