timestamp_utc,mode,metric,value,station
2026-07-02T07:35:33.596628+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-02T07:40:51.357494+00:00,check,empty_docks,9,"Tooley Street, Bermondsey"
2026-07-02T16:31:04.930672+00:00,evening_check,available_bikes,12,"Tooley Street, Bermondsey"
2026-07-02T16:35:33.317336+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-02T16:40:50.340781+00:00,evening_second_summary,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-02T16:45:37.047524+00:00,evening_check,available_bikes,12,"Tooley Street, Bermondsey"
2026-07-02T16:50:54.615452+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-02T16:55:33.743966+00:00,evening_check,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-03T10:27:52.850022+00:00,status,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-03T10:27:52.850113+00:00,status,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-04T14:02:22.241171+00:00,status,empty_docks,3,"Tooley Street, Bermondsey"
2026-07-04T14:02:22.241271+00:00,status,available_bikes,22,"Tooley Street, Bermondsey"
2026-07-05T13:38:16.718460+00:00,status,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-05T13:38:16.718558+00:00,status,available_bikes,13,"Tooley Street, Bermondsey"
2026-07-06T06:45:37.437774+00:00,summary,empty_docks,13,"Tooley Street, Bermondsey"
2026-07-06T07:01:19.673911+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-06T07:05:34.322270+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-06T07:11:02.541461+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-06T07:15:41.157252+00:00,check,empty_docks,8,"Tooley Street, Bermondsey"
2026-07-06T07:21:01.806091+00:00,morning_bikes,empty_docks,9,"Tooley Street, Bermondsey"
2026-07-06T07:25:33.865909+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-06T07:31:15.565700+00:00,check,empty_docks,5,"Tooley Street, Bermondsey"
2026-07-06T07:35:33.363124+00:00,check,empty_docks,5,"Tooley Street, Bermondsey"
2026-07-06T07:41:00.530939+00:00,check,empty_docks,4,"Tooley Street, Bermondsey"
2026-07-06T16:15:38.422320+00:00,evening_summary,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-06T16:31:21.347480+00:00,evening_check,available_bikes,5,"Tooley Street, Bermondsey"
2026-07-06T16:35:34.512919+00:00,evening_check,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-06T16:41:09.618463+00:00,evening_second_summary,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-06T16:45:39.989395+00:00,evening_check,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-06T16:51:07.669320+00:00,evening_check,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-06T16:55:30.137878+00:00,evening_check,available_bikes,5,"Tooley Street, Bermondsey"
2026-07-07T06:45:45.746042+00:00,summary,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-07T07:01:27.648710+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-07T07:05:32.005899+00:00,check,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-07T07:11:04.361874+00:00,check,empty_docks,17,"Tooley Street, Bermondsey"
2026-07-07T07:15:41.715888+00:00,check,empty_docks,15,"Tooley Street, Bermondsey"
2026-07-07T07:21:04.100318+00:00,morning_bikes,empty_docks,14,"Tooley Street, Bermondsey"
2026-07-07T07:25:31.300412+00:00,check,empty_docks,14,"Tooley Street, Bermondsey"
2026-07-07T07:31:18.295831+00:00,check,empty_docks,14,"Tooley Street, Bermondsey"
2026-07-07T07:35:37.462243+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-07T07:41:04.628695+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-07T16:15:43.158985+00:00,evening_summary,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-07T16:31:17.968309+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-07T16:35:34.042577+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-07T16:41:05.758234+00:00,evening_second_summary,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-07T16:45:39.781568+00:00,evening_check,available_bikes,12,"Tooley Street, Bermondsey"
2026-07-07T16:51:04.105028+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-07T16:55:34.309573+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-08T06:45:39.845146+00:00,summary,empty_docks,17,"Tooley Street, Bermondsey"
2026-07-08T07:01:24.828111+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-08T07:05:34.040258+00:00,check,empty_docks,19,"Tooley Street, Bermondsey"
2026-07-08T07:11:12.526935+00:00,check,empty_docks,19,"Tooley Street, Bermondsey"
2026-07-08T07:15:40.567167+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-08T07:16:03.193856+00:00,status,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-08T07:16:03.193988+00:00,status,available_bikes,4,"Tooley Street, Bermondsey"
2026-07-08T07:21:06.889692+00:00,morning_bikes,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-08T07:25:30.675886+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-08T07:26:16.841942+00:00,status,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-08T07:26:16.842081+00:00,status,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-08T07:31:22.747630+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-08T07:35:32.009070+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
